P10790390X0000|67 75|mod ( mdg4 )
P11376134A1506|58 88|transcription factor binding sites
P08264628A0418|99 104|TFIIIB
P01808136T0000|27 46|coagulation factor XII
P08429019A2022|35 54|YY1 consensus sequence
P10869076A1384|83 86|tnaC
P10675331A0600|86 88|Erk
P01734283A0817|27 38|RAP74 protein
P08036004A0292|20 33|class I enhancer
P08223613A0105|19 22|TPS1
P02144610A1306|11 18|beta gene
P02868446A0184|147 156|RPase alpha
P07937954A0612|0 2|HBx
P06407348A0516|146 150|beta1
P01464606A0344|102 132|fibronectin cell-binding fragment
P02595451A1136|73 76|TCL2
P01659685T0000|60 64|Dd ras
P07729427A0942|66 73|hTAFII28
P10428811A1067|0 10|Cat proteins
P08388543A1263|109 122|protein kinase C
P07980440A0138|78 86|PEPCK gene
P09611234A0098|20 24|Mxi-1
P06281786A1222|52 63|histone genes
P09651383A0967|130 143|apoCII promoter
P07579704A0085|17 21|actin
P06782869A0263|148 171|serum alkaline phosphatase
P08922390A2076|100 102|FAK
P09622055A0207|54 58|c-Cbl
P07947930A0499|3 12|fibrinogen
P08190633A0273|9 16|AP-2 mRNA
P07891713T0000|34 36|Fos
P07565797A0116|64 71|CRY2 mRNA
P10850997A1016|59 61|Fur
P10229084A0000|248 251|pp72
P08278548A0597|13 16|psaH
P10518561A0885|26 30|BRDG1
P08948440A0628|41 43|An3
P00331128A0000|17 26|calcitonin
P08062824A0626|51 83|peptidyl-prolyl cis-trans isomerase
P10428862A0834|35 57|DokR-specific antibodies
P11145571A0788|0 25|IFN-stimulated gene factor-3
P01581965A0388|134 139|rho GAP
P09693035T0000|0 8|Human ULK1
P10702926T0089|46 68|alpha beta T cell receptors
P09802902A0225|25 28|ARNO
P08264591A1190|40 54|RNA polymerase II
P10779329T0000|23 25|Src
P08993836A0699|66 79|HNF-3 alpha gene
P11134351A1405|56 60|MBP-1
P08798762A1279|61 71|Cut proteins
P09000632A2341|5 14|p51 subunit
P08460918A0252|151 169|alkaline phosphatase
P11074210A0623|47 53|insulin
P09917555T0001|10 34|hematopoietic growth factor
P01917943A0621b|21 49|sMtCK genomic upstream sequences
P08665853A0228|108 113|ErbB-3
P07507207A0991|80 88|IRF-2 gene
P07902583A0545|51 54|Swi5
P09914156A1496|128 153|collagen-dependent promoter
P09560390A0771|55 59|sum1+
P01845899A0000|68 72|Rep52
P09168134A0858|77 88|U1 snRNA genes
P02542612A0530|0 9|S1 nuclease
P10681520A0525|83 85|GEF
P11359827T0000|90 94|SPE-J
P08566751A0455|82 110|Drosophila regulatory sequences
P07860208A0000|52 77|tumour necrosis factor-alpha
P11031252A0646|66 75|HMW isoform
P08144615A0533|71 87|NF-IL6 bZIP domains
P10362652A1456|94 96|EGF
P08254738A0428|14 28|mutant T antigens
P10400593A1084|11 15|PvirE
P08226777A0936|40 45|DdPTPa
P08702728A1325|40 53|Y317F mutant Shc
P09084174A0667|93 95|asd
P03004739A0753|148 164|CAT binding protein
P10490604A0601|55 57|Fyn
P07730273A1309|3 6|NarX
P00989973A0000|22 31|fibrinogen
P09748261A0000|88 92|Faaps
P11413148A0573|20 31|Src homology 2
P09067577A0721|74 76|C3G
P10049912T0000|16 21|RNase T
P02529378A0536|137 139|SP1
P08634420A1784|96 102|muEpo-R
P10400712A0577|194 220|hemagglutinin-neuraminidase
P11289149A0658|121 123|CBP
P08710377A0577|117 119|Shc
P08951815A0465|12 15|ASN1
P09286115T0000|96 104|RPL21 gene
P09322738A0510|24 30|rpoCHIS
P07474124A1360|184 196|F glycoprotein
P01990266A0678|46 50|UHF-1
P10556028A0292|155 158|BD-2
P08386318A1102|166 171|NF-IL6
P10688666A1010|22 25|ASK1
P07514301A0000|48 50|PKR
P01954355A0997|38 41|IL-1
P09658403A1207|91 93|CAT
P00227610A1593|31 37|DBP mRNA
P10498706A1219|32 35|PecS
P10811804A0000|49 53|MKP-3
P07504171A1214|16 28|Src SH2 mutants
P08589358A0235|20 49|recombinant human erythropoietin
P09990315A0205|52 54|PKC
P02308496A0000|80 86|insulin
P08076631A0000|131 150|human osteocalcin gene
P08223613A0105|0 3|GGS1
P09799793T0000|96 98|EPO
P10454570A0846|298 302|ERK-2
P11075944A0691|11 14|npm3
P07528325A0165|45 54|GH receptor
P10627532A0739|94 96|JNK
P00725534A0888|66 68|IgA
P10918572A1547|63 67|ErbB2
P09268638A0332|76 81|D8S285
P08196618A0473|0 4|PRL-1
P10553551A0000|0 7|Factor XI
P11040219A0548|9 12|NusA
P07969116A0196|3 14|Nur77 protein
P09418905A1396|186 188|PKC
P09795213A0129|299 313|RNA polymerase II
P08508778A0112|0 11|Yeast mutants
P01330309A1134|30 33|MyoD
P07691885T0000|49 67|proto-oncogene c-kit
P10453006A0478|76 81|PSMB12
P03102289A0786|48 50|hCG
P11408604A1440|149 154|ERK1/2
P09447963A0223|79 86|SR family
P10644357A0935|124 126|VP3
P07841663A0685|0 18|Superoxide dismutase
P02684585T0001|28 35|rhGM-CSF
P03319646T0000|0 10|Plasma renin
P09736715A0729|87 89|ILK
P10026229A0950|47 55|Pbx1 sites
P09447963A0223|0 3|Sip1
P02674327A0493|75 88|polyhedrin gene
P08230445A0000|161 163|Gag
P11435560A1322|29 38|HFV R region
P02176822A0000|48 63|ATP-citrate lyase
P09369450A1358|43 44|GR
P03921727A0523|19 24|apo A-I
P08892755A0186|11 18|carp JAK1
P08749394A0874|117 128|RAM23 regions
P09819422A0768|41 60|Hsp90 heterocomplexes
P00377466A0188|38 39|LH
P02962859A0276|36 53|beta-galactosidase
P11112700T0000|82 85|MACF
P08119149A0000|26 33|TNF alpha
P10721714A1087|105 111|Sp1 site
P02437792T0000|34 39|lipase
P10878398A0542|23 25|Epo
P10727433T0000|12 44|urokinase plasminogen activator gene
P09735371A0227|27 52|POU-type homeodomain protein
P10903733A0540|87 107|TNFR-associated factor
P03034570A0943|146 150|ORF E7
P11416144A1324|106 115|p53 protein
P01633435A0743|3 21|DRF-2 nuclear protein
P08048916A0000|0 3|IGF I
P11158337A0000|171 174|GRAS
P02844767A0191|100 121|apocytochrome f proteins
P09204570A0110|34 38|nmhC5
P10080875A0772|228 232|C-Jun
P09085842A0181|36 42|U1 snRNP
P08474456A1041|112 128|LyF-1 binding sites
P08915508A0000|107 109|Tat
P02243386A0113|68 72|DIssF
P10497199A0559|149 157|COUP-TFII
P10526670A0236|35 41|F-actin
P07933116A0412|3 9|p55 mRNA
P08188603A0230|159 163|CPS-A
P07559356T0000|115 122|fnrN gene
P01331501A0397|49 68|pRB-binding sequences
P01675424A0991|67 82|NADH-NR sequences
P10772977A0222|27 37|PVX CP mutant
P07935426A0714|87 97|TdT promoter
P10861909A0502|128 132|ura4+
P08887678A0000|15 36|proapoptotic protein Bax
P09343210A1112|208 225|VCAM-1 gene promoter
P08808120A0774|148 158|transferrin
P07114083A0153|86 103|glucocerebrosidase
P10071205A0833|50 53|STA2
P09990057T0000|76 113|Ig heavy chain intronic enhancer core region
P07926748A0383|24 27|NOT3
P09372968A0996|54 65|I kappaB alpha
P08072547T0000|80 82|JNK
P11522658A0086|31 35|ErbB2
P11256944A1144|29 32|ATF6
P08615025A1214|225 228|gp41
P02320008A0651|0 5|TMBr-1
P01468625A1080|11 14|ACT1
P08661101A0396|70 76|rat CRP1
P09368760A0665|0 8|Human PDK1
P09278445T0000|25 29|RNase
P08129955A0572|39 43|CK-MB
P09817373A0000|164 166|NOS
P01378052A0594|14 20|acoXABC
P08546707T0000|86 97|NF-kappa Bp50
P09032250A0257|65 68|Tax1
P11137296A0923|221 225|PFK-B
P08486705A0181|115 126|eIF-5 protein
P07871721A0392|107 133|papain-like proteinase domain
P10490609A0413|187 189|ARS
P07800505T0000|35 72|human 85 kDa cytosolic phospholipase A2 gene
P08647086A0720|3 6|Cdk2
P07860208A0000|79 81|TNF
P03011793A0582|27 30|rbsA
P05779953T0000|42 44|FSH
P01694525A0000|0 22|Isopenicillin N isomerase
P09642214A0244|141 152|SHP-2 mutants
P11108720A1130|154 157|S6K1
P09773975A1873|83 87|Ang II
P10715325A0834|147 150|EIN2
P11145563A0202|53 91|sterol regulatory element-binding proteins
P09259313A0950|60 62|PRL
P09259328A0440|176 185|luciferase
P03133360A1215|97 104|trpE mRNA
P08482539A0913|51 54|xylP
P09867253A0229|111 114|AP-1
P01722319A0849|49 61|CHIP28 protein
P08223576A1261|12 20|H4P teGlun
P01682509A0539|45 48|IE72
P09515031A1020|24 32|TGF-betaf
P09759865A0673|13 20|IL-1 beta
P11243306A0961|164 173|anti-oxLDL
P10454570A0846|373 383|uPA enhancer
P08264650A0925|60 63|MDS1
P07567979A1266|96 100|hERR1
P10385915A1341|0 6|D3S1261
P10865422A0138|34 43|hemoglobin
P11438666A0555|18 29|mouse protein
P09238850A0785|12 15|ICER
P08552092A1678|199 206|rep3 gene
P08001792A0284|23 26|git8
P07708058A0178|101 114|c-jun homodimer
P01703632T0000|80 98|RNA-binding proteins
P09524222A0769|186 191|MARCKS
P11152070A0573|92 95|pcbC
P06434587A0551|24 25|LH
P11134033A0000|99 102|eIF3
P07624119A0528|106 126|GAL4 DNA-binding domain
P08585324A0467|28 35|SSC1 gene
P07483276A0139|84 86|UL3
P08812490A1509|89 93|AQP-2
P11145955A0189|257 265|TGF-alpha
P06341139A0213|21 27|insulin
P09028942A0000|52 58|hGM-CSF
P07651398T0000|53 77|DER receptor tyrosine kinase
P10407985A0574|0 4|G-CSF
P07707544T0000|82 107|immediate-early transcripts
P02139473A1603|43 57|Fur-binding site
P11486476A1512|36 44|myoglobin
P02997777A0609|186 197|top2 ts mutant
P08406004A0691|39 42|PU.1
P02949170A0184|161 164|SHBG
P09234723A0846|59 61|PTB
P00369397A0280|56 59|GnRH
P11462004A1500|83 85|Vp3
P09891046A0269|23 25|PKR
P09712898A0911|59 72|protein kinases
P08576042A0765|147 150|dnaK
P10903837A1208|70 73|VSX1
P08262067A1608|23 26|Cwg2
P10501034A0839|47 50|hmg2
P08662928T0000|33 36|IL-6
P08016102A1238|73 81|NF-kappa B
P08575614A0264|0 10|Rad6 mutants
P06685004A0000|58 61|SHBG
P10402467T0000|0 21|Myosin light chain kinase
P01446828A1088|94 98|LF-A1
P09022040A0263|118 130|L-plastin gene
P09733794A1323|27 31|Bcl-2
P09799362A1463|17 20|Azf1
P09139910A0350|69 89|nifV-like DNA fragments
P10773351A0672|53 61|IFN-gamma
P02675492A0806|85 87|CRP
P01907941A0275|77 86|kappa B site
P08769409A0114|56 67|RAR beta 2 gene
P10490826T0000|6 41|tyrosine kinase signal transduction gene
P11145887A1393|161 163|Tax
P09649501A0358|255 271|HSF1 heptad repeats
P08806491A0542|18 24|ODV-E18
P01545797A0587|43 50|SLK1 gene
P09380507A0514|95 102|E2F sites
P10628750A0298|142 150|NF-kappaB
P08208247T0030|63 91|glutamic acid decarboxylase gene
P11158337A0000|218 238|steroidogenic factor-1
P01723962A0165|13 23|serum lipase
P10891441A0871|68 71|SHIP
P10725382A0398|111 114|SOS2
P07799948A0777|25 39|Ras-binding site
P10861080A0433|25 36|IkappaBalpha
P08621664A1430|16 36|neurofilament L protein
P09869400A0203|35 53|germin-like proteins
P09348226A0852|24 30|insulin
P08602169A0484|110 121|HML alpha loci
P09372950A1283|131 140|human U2 RNA
P09932288A0378|26 28|XT3
P09773975A1873|0 21|Wild-type AT1A receptors
P08108343A0000|57 60|GnRH
P10050883A0967|12 39|phosphatidylinositol-3 kinase
P09259052A0568|182 185|JunB
P10669594A0000|75 79|SEF17
P11331596A0710|0 3|Prrp
P11462952A1040|7 13|gastrin
P07890680A1193|18 37|core DNA polymerase III
P01547957A1083|143 146|CYP1
P01674817A0862|25 29|RNA14
P11241672T0000|128 133|STAT-6
P09282329A0527|43 65|Site II regulatory factors
P08970984A0765|90 92|ETS
P09647240A0000|14 16|p53
P10200473A0171|99 102|CASH
P09202859A0091|16 46|beta-human chorionic gonadotropin
P02809722A0926|67 68|GH
P10466825T0000|31 48|baculovirus p10 mRNA
P01648530A0000|126 161|cardiac actin-beta-globin reporter gene
P10422468A0524|230 247|cystic fibrosis gene
P03486405A0341|98 106|IL-1 alpha
P07509811A1357|1 3|TRE
P10233885A0899|137 147|p30 isoforms
P09218775A1229|20 29|cysB mutant
P10882850A0000|40 53|DNA glycosylase
P08035796A0890|68 88|casein kinase II mutants
P07494244A0335|61 65|c-fos
P10611242A0541|98 101|Spt3
P07865876A1292|30 44|DP family members
P09882499A0231|127 130|Pax6
P02481230A1258|23 42|bovine alpha transgene
P10501969A1329|66 71|GATA-4
P09501093A0071|72 74|Ras
P08618882A0343|103 107|BZLF1
P09203586A1197|62 64|SL1
P10630630A0614|40 42|PKC
P09858713A1174|72 74|Arm
P03619249A0428|205 219|anti non-A non-Bc
P09121476T0000|38 58|DEAD-box protein family
P07971709A0907|56 62|rhG-CSF
P07559524A0741|86 92|p41MAPK
P08618433A0000|126 130|STK-1
P10491133A0365|69 78|HO isozymes
P10722661A0146|0 3|CYC2
P02293019A0000|20 22|ALP
P11691585A1174|115 132|cKrox family members
P10613863T0000|115 126|pfoA promoter
P02164637A0515|150 160|cdc25 mutant
P07519447T0000|17 26|bovine gene
P07910946A0323|188 191|IL-2
P01545797A0587|52 55|slk1
P08099443A0359|10 12|HRI
P11335710A0320|44 46|Erk
P02236064A1178|0 7|S6 kinase
P08626698A0989|45 51|PKC beta
P10556044A0913|26 51|alpha-dystroglycan receptor
P07636187A0585|39 61|V beta 8.3 gene transcripts
P10327051A0688|77 80|ATF2
P09395525A0395|123 126|HS3D
P09837907A0857|27 30|IL-4
P09334330A0252|178 190|mammalian DPC4
P05132558T0000|55 70|monoamine oxidase
P01437562A0462|0 17|Anti-CRK antibodies
P02758382A0478|142 145|SHBG
P08291761A0416|63 65|IgG
P10600171A1066|79 85|COUP-TF
P07499401A0444|18 24|hnRNPs H
P09209372A0345|21 24|AML1
P01716292A0000|186 192|DR alpha
P11560992A0000|176 197|c-Jun N-terminal kinases
P01413984A0737|219 237|von Willebrand factor
P07707531A0550|129 132|ICP4
P10439040A0658|35 39|c-myc
P08871635A0000|21 23|BCR
P09632709A0464|75 78|BX42
P07672821A0763|93 109|complement factor H
P07933066T0000|116 119|DP-1
P09144770A0906|77 82|FKBP12
P10536125A0093|100 127|influenzavirus neuraminidases
P01982997A1104|13 46|immediate-early transcription factor
P10446998A0375|100 103|junB
P10771709A0291|132 142|IgG antibody
P10477597A0126|88 91|GCKR
P07982964A1017|8 11|PC-1
P03985849A0221|196 198|IgA
P10502216A0289|55 67|streptokinase
P01737741A0000|29 44|monoamine oxidase
P10026824A0309|191 200|V2 receptor
P03065141A0448|99 106|citB gene
P09148935A0805|50 52|FAK
P02068085A1273|76 105|Mlu I upstream activation sequence
P09218599A0184|84 87|IL-4
P10679065A1217|93 95|BCR
P09369450A1358|115 123|HNF-1 site
P09629449A0540|90 100|PMN elastase
P10448902A0921|38 58|glutathione peroxidase
P00231555T0001|74 77|ACTH
P01549125A0140|35 41|insulin
P08093450A0688|17 26|NRF-1 motif
P07623814A1040|132 133|ER
P08223613A0105|141 144|glc6
P01431380A0244|140 162|anti-SF group rickettsiae
P10224289T0000|69 90|T cell receptor zeta chain
P09537361A0149|96 98|cvi
P09545353A1071|138 151|E-selectin gene
P02233715A0914|35 38|IL-6
P09211981A0526|25 28|gar2
P10938102A0265|45 68|NS1 influenza virus protein
P09581872A0000|45 57|type I collagen
P09202147A0866|57 59|UBC
P01422265A0263|107 110|IgG3
P08595878A0201|42 45|PP2A
P08349632A0679|56 63|PSG12 psi
P08181755A0989|29 43|pcbAB transcript
P08631820A0755|25 32|FPS1 gene
P10602502A0422|7 16|Tob protein
P07547510A0261|206 214|LF-H3 beta
P10831972A0744|15 18|CD23
P01436261A0145|31 42|somatostatin
P11350982A0560|48 51|GCN1
P11070078A1153|112 116|HPV E6
P09045919A1250|203 210|IgH locus
P10801809T0000|30 46|yeast PHO8 promoter
P02403926A0000|124 160|trk proto-oncogene receptor kinase domain
P08622887A1026|117 132|GRE-2 and -3 motifs
P10750020A0843|5 16|growth factor
P09811730A1396|76 85|KCS element
P10187842A1155|134 142|PPARalpha
P07963540A0795|53 73|nuclear factor-kappa B1
P09049304A1193|109 119|AP-2 protein
P08576131A0151|58 61|USF2
P08386318A1102|76 89|protein kinase C
P09002648A0202|0 4|BCL-2
P09645961A1158|109 116|nTPH gene
P11023832A1038|46 53|TNFalpha
P11158337A0000|50 61|GnRH receptor
P01313846A0850|42 48|Tactile
P09455695A0762|40 42|AST
P10933728A1398|95 110|hnRNP protein AUF1
P11375392T0000|79 83|Oct-1
P10775623A0120|50 57|env genes
P09032267A0850|42 44|CBP
P11071789T0000|30 32|ACE
P09832504A0596|45 47|Tat
P07675449A0848|72 76|PDGFR
P08657150A1049|33 36|NCE3
P09020138A0833|4 7|HEF1
P08476854A0097|98 99|P7
P09731513A1090|73 81|NF-kappaB
P10395283A0960|28 35|activin A
P07651734A0961|94 103|LIMK-2 mRNA
P10366503A0812|101 104|gp17
P09132061A0828|10 13|atp 2
P01464606A0344|19 37|alpha 5 beta 1 integrin
P09315633A0333|63 89|interferon regulatory factors
P08769566A0000|154 156|ZD1
P07672822T0000|43 74|mouse pre-T-cell receptor alpha gene
P10559364A0846|114 141|polymerase processivity factor
P08621719A0568|22 24|Cbl
P11220306A1753|117 121|hexA+
P09763607A0521|76 84|p38 kinase
P10713083A0560|74 77|TraR
P08816759A0000|114 115|TR
P09121454A1328|22 25|bur6
P06272844A0000|133 137|MNase
P08204824A0000|19 27|cyc07 gene
P09228092A1779|31 37|dUTPase
P09704569T0000|46 67|human TR2 orphan receptor
P07655184A0852|147 156|ER sequence
P07542616A0486|99 121|yeast initiation factor-3
P09669641A0425|49 55|amylase
P03499657A0000|64 66|sAP
P10825294A0473|73 84|BSP promoters
P10974541A0389|56 60|MZF1B
P11238447A0524|154 159|nup153
P01709486A0000|63 67|c-kit
P09576230T0000|11 29|nitric oxide synthase
P03186091T0000|8 33|plasma cystyl aminopeptidase
P10585440A0204|15 48|Drosophila melanogaster FAK homologue
P09409774A0214|90 98|VCSA1 gene
P11462004A1500|77 79|Vp2
P01652755A1492|276 278|MHC
P07862150A0429|39 46|TGF-beta
P09716179A0974|0 8|RXR-gamma
P08887674A0630|14 37|DMP1 recognition sequences
P08094464A0869|8 11|tyrA
P09626662A1076|59 68|RXR subunit
P09414319A1442|36 41|Surf-1
P02685331A0523|34 57|K. pneumoniae nifH promoter
P09380507A0514|0 23|Glutathione S-transferase
P02293019A0000|0 18|Antileukoproteinase
P08432137A0000|49 52|PADA
P08631958T0000|86 88|p53
P11350175A0173|59 73|prolyl isomerase
P08794348A1067|51 53|NIa
P09244350A0000|0 4|BRCA1
P07744763A0514|198 202|HNF-4
P09872832A1262|115 119|IL-12
P04138224T0095|49 62|gamma-globulin
P02156828A0164|29 35|destrin
P10805737T0000|20 56|mammalian translation initiation factor 5
P10504332A0701|48 61|mutant receptor
P09736697A0783|32 35|MEK1
P02444507A0240|0 7|Lysozyme
P09446616A0780|16 20|Raf-1
P09115279A0345|95 104|Pch1 kinase
P09566882A0693|31 34|Pho2
P06131038A0000|34 50|lipoprotein lipase
P07791768A0930|132 135|SIR1
P07540866A1069|55 63|MAP kinase
P07929559A0000|0 16|Cytoplasmic dynein
P11356853A0873|12 26|AP-1 superfamily
P02023421A0343|36 43|collagen
P08108413A0964|90 93|PANG
P08733881A0343|76 78|TSH
P07862154A0340|83 86|RAF1
P10744749T0000|119 127|KIX domain
P07758459A1277|11 18|AAC2 gene
P11158310A0993|37 40|NF-Y
P08219227A0830|16 18|CRE
P07854130A1387|16 19|PilE
P08524284A0309|62 69|PTF delta
P09524222A0769|49 53|beta 4
P07474140A1036|113 125|ICP27 homologs
P07673128A0989|48 50|CRE
P01657249A1019|3 8|anti-I
P01551568A1476|79 87|Rif domain
P01422265A0263|3 5|IgG
P08820642A0173|18 25|hrpZ gene
P01723962A0165|27 33|amylase
P11500512A0000|3 16|human ABCG1 gene
P08770896A1121|30 35|IGF-II
P08021175A0486|92 115|cyclic AMP receptor protein
P09990060A0937|154 166|IL-16 promoter
P10542260A0832|50 52|FXa
P09757012A0942|34 43|KS5 protein
P08876167A0717|10 12|CDP
P09353304A0732|58 62|Tiam1
P11170476A1546|27 48|peptide--gp96 complexes
P10229668A0190|15 26|cdc33 mutants
P01996312A0454|91 100|Dd kinase-2
P10805739A0343|54 66|eIF2B subunits
P08070393A0631|33 35|EGF
P07474617A1035|54 56|PRL
P10359575A0317|105 114|bFcgamma2R
P10564593A1618|154 172|MXR half-transporter
P09383156A0691|63 89|polynucleotide phosphorylase
P07693672A0259|0 5|DNase I
P02175908A0805|67 77|mutant locus
P09882451A0195|65 92|endogenous ferrochelatase gene
P11139567A1440|100 124|G protein beta gamma subunits
P10329586A0414|24 25|FN
P03881260A0000|79 107|carbamoyl-phosphate synthetase
P08808707A0631|115 133|Jun N-terminal kinase
P07680120A1008|133 143|aFGF protein
P10705380A0629|127 131|BMP-4
P07528772A1539|35 45|TAM peptides
P11279108T0000|9 27|serum response factor
P09525891T0000|67 89|cAMP-responsive sequence
P07509472A1320|88 102|alpha interferon
P07543684A1027|32 34|PKA
P02144610A1306|87 99|T beta 2 element
P09749533A0764|20 27|CONSTANS
P02196565A0606|174 177|PYK1
P01850105A1093|12 16|c-myc
P06185493A0468|116 141|bovine muscle pyruvate kinase
P10788480T0000|12 61|mitochondrial single-stranded DNA-binding protein gene
P08631958T0000|0 44|Human cytomegalovirus immediate-early protein IE2
P07651141A0265|19 30|p-gvpF-M mRNA
P09800187A0100|7 11|Trp53
P07007591A0324|45 55|transferrin
P02123467A0811|89 91|Sp1
P11080796A1277|70 77|IKKalpha
P01742606A0000|121 146|235 kDa spectrin beta-subunit
P10080875A0772|222 226|c-Fos
P07865917A0191|98 100|ACE
P06675047A0000|40 49|hemoglobin
P09065690A0463|65 68|CAR1
P11116084A0000|0 10|Mouse Impact
P09407031A0974|69 79|crb2 mutants
P10843716A0406|3 15|tryptase locus
P08985415A1096|79 87|IFN-gamma
P09341193A0362|20 22|Sp3
P09832436A0738|45 49|PLP-D
P10212278A0387|188 191|MAPK
P09144195A1051|100 105|PS1 CTF
P01331501A0397|71 73|E1A
P08321199T0000|107 114|HMR locus
P08683108A1501|51 64|protein kinase A
P02176152A0896|114 126|HSV tk promoter
P09514272A0482|94 96|P15
P09545638T0000|88 94|HRMT1L2
P08530345A0880|90 91|HD
P07929165T0000|28 38|actVI region
P10320579A1831|95 98|HAPs
P04328746T0073|21 37|cytochrome oxidase
P07609037A0775|22 26|Oct-1
P03275867A0187|166 178|MAT alpha genes
P10607566A0880|160 162|TCF
P11003641A0811|60 64|TFIIF
P08846775A0110|107 110|CLN1
P03065141A0448|39 42|citB
P08164684A1266|12 14|RXR
P10764802A1258|39 41|p57
P08816460A1769|122 126|Erk-2
P08144615A0533|89 92|NFBD
P11258906A0743|106 109|RecA
P08662193A0404|123 126|NIT4
P01468625A0282|16 19|LEU2
P01674242A0358|452 461|interferon
P09162097A0776|119 124|LPAM-1
P10036191A0000|111 114|TFE3
P10364076A0429|70 76|SREBP-1
P08995652A0812|587 600|UL80.5 proteins
P10359792A0610|153 171|histone deacetylases
P09915798A1077|134 148|steroid receptor
P07509449A0000|181 183|SH2
P10490955T0000|75 104|mitogen-activated protein kinase
P08668158A1252|23 37|mutant RPM1 genes
P08923470A0458|0 12|PPAR gamma mRNA
P08300611A0341|29 46|traI structural gene
P11003641A0811|11 14|Fcp1
P07530502A0974|85 89|c-kit
P08091669A0828|117 127|ie1 promoter
P10077533A0976|72 79|MUL genes
P11390395A1018|79 83|STAT3
P08458849A0364|25 28|flaN
P06094591A0000|55 58|gp37
P08395014A1364|107 110|PPZ1
P10502402A0129|21 25|TRAIL
P08259650A0640|31 36|HA gene
